goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMDecrypt/1.4KB-8        	  403224	      2822 ns/op	 531.52 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  391716	      2808 ns/op	 534.19 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  449024	      2638 ns/op	 568.61 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  463232	      2600 ns/op	 576.92 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  441793	      2796 ns/op	 536.54 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  428126	      2571 ns/op	 583.47 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  481665	      2711 ns/op	 553.39 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  460472	      2685 ns/op	 558.67 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  425728	      2707 ns/op	 554.05 MB/s	    3904 B/op	       7 allocs/op
BenchmarkCCMDecrypt/1.4KB-8        	  474615	      2862 ns/op	 524.07 MB/s	    3904 B/op	       7 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	88.235s
