goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMEncrypt/800B-8         	 2948756	       415.5 ns/op	1925.19 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2813536	       416.7 ns/op	1920.03 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2694195	       423.3 ns/op	1889.79 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2879954	       419.0 ns/op	1909.17 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2743202	       436.2 ns/op	1834.15 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2936167	       409.9 ns/op	1951.78 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2893413	       407.2 ns/op	1964.75 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2886429	       435.3 ns/op	1837.93 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2592343	       493.0 ns/op	1622.56 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/800B-8         	 2546728	       456.3 ns/op	1753.40 MB/s	    1808 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2074986	       541.4 ns/op	1891.56 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2233240	       557.0 ns/op	1838.48 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2111934	       537.4 ns/op	1905.63 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2279389	       504.7 ns/op	2028.77 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2256990	       502.3 ns/op	2038.77 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2430250	       525.5 ns/op	1948.67 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2402050	       516.6 ns/op	1982.19 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2427324	       512.0 ns/op	2000.17 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2192299	       680.3 ns/op	1505.11 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1KB-8          	 2179578	       507.1 ns/op	2019.31 MB/s	    2320 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2105516	       562.8 ns/op	2132.12 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 1946012	       589.8 ns/op	2034.52 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2143782	       591.0 ns/op	2030.49 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2111596	       562.7 ns/op	2132.65 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2111678	       560.3 ns/op	2141.72 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2120762	       555.1 ns/op	2161.67 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2163655	       553.9 ns/op	2166.57 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2035836	       566.5 ns/op	2118.11 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2143179	       556.6 ns/op	2155.90 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.1KB-8        	 2062096	       555.0 ns/op	2162.33 MB/s	    2577 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1776008	       669.7 ns/op	2239.78 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1738461	       684.1 ns/op	2192.67 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1751425	       697.8 ns/op	2149.76 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1744854	       677.5 ns/op	2213.95 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1782937	       717.5 ns/op	2090.62 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1750790	       680.0 ns/op	2206.00 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1729706	       712.8 ns/op	2104.43 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1492128	       988.9 ns/op	1516.86 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1548926	       688.6 ns/op	2178.18 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1769602	       671.8 ns/op	2232.71 MB/s	    3345 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  795925	      1496 ns/op	2738.78 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  807597	      1745 ns/op	2347.38 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  817414	      1499 ns/op	2732.08 MB/s	    9747 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  807135	      1558 ns/op	2629.68 MB/s	    9747 B/op	       3 allocs/op
