goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1234 ns/op	 414.91 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1093 ns/op	 468.37 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1127 ns/op	 454.44 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1089 ns/op	 470.26 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1092 ns/op	 468.75 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  807344	      1581 ns/op	 505.86 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  827490	      1480 ns/op	 540.58 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  810057	      1551 ns/op	 515.65 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  798044	      1534 ns/op	 521.57 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  790328	      1677 ns/op	 477.14 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  801522	      1510 ns/op	 529.79 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  812080	      1570 ns/op	 509.61 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  815385	      1451 ns/op	 551.34 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  829822	      1591 ns/op	 502.87 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  711837	      1682 ns/op	 475.65 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  587850	      1960 ns/op	 522.33 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  688108	      1784 ns/op	 573.84 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  688311	      1804 ns/op	 567.68 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  673107	      1816 ns/op	 563.77 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  666664	      1798 ns/op	 569.57 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  666940	      1767 ns/op	 579.50 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  704178	      1760 ns/op	 581.94 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  682642	      1829 ns/op	 559.76 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  662977	      1890 ns/op	 541.79 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  603465	      1988 ns/op	 515.06 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  594061	      2020 ns/op	 593.93 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  638391	      1947 ns/op	 616.46 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  655772	      1937 ns/op	 619.38 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  623942	      1939 ns/op	 618.95 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  598972	      1965 ns/op	 610.82 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  630295	      2043 ns/op	 587.51 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  598464	      2055 ns/op	 584.04 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  622209	      2037 ns/op	 588.98 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  584839	      2044 ns/op	 587.16 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  615902	      1976 ns/op	 607.30 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  475772	      2549 ns/op	 588.52 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  487928	      2579 ns/op	 581.70 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  462538	      2648 ns/op	 566.54 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  475148	      3115 ns/op	 481.59 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  445010	      3221 ns/op	 465.63 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  368245	      3570 ns/op	 420.13 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  471631	      2777 ns/op	 540.11 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  456505	      2593 ns/op	 578.44 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  395025	      2544 ns/op	 589.60 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  492754	      2624 ns/op	 571.74 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  201279	      6251 ns/op	 655.23 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  194304	      6263 ns/op	 654.01 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  199486	      6224 ns/op	 658.14 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  193920	      6176 ns/op	 663.21 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  199729	      6188 ns/op	 661.89 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  193573	      6237 ns/op	 656.68 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  198760	      6155 ns/op	 665.45 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  201084	      6150 ns/op	 666.07 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  184598	      6185 ns/op	 662.22 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  195862	      6023 ns/op	 680.11 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  103212	     11994 ns/op	 683.03 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  103894	     11440 ns/op	 716.11 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  109450	     11542 ns/op	 709.74 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   98740	     11307 ns/op	 724.49 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  102691	     11604 ns/op	 705.93 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   92755	     11512 ns/op	 711.61 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   98900	     12851 ns/op	 637.44 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   97296	     13435 ns/op	 609.75 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   93583	     11403 ns/op	 718.44 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  109850	     11507 ns/op	 711.91 MB/s	   18976 B/op	       4 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	158.377s
