goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/800B-8         	  840688	      1427 ns/op	 560.74 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  852832	      1453 ns/op	 550.62 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  846349	      1497 ns/op	 534.50 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  835648	      1436 ns/op	 557.09 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  812614	      1457 ns/op	 548.96 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  832119	      1451 ns/op	 551.49 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  825010	      1475 ns/op	 542.53 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  831199	      1434 ns/op	 557.94 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  846331	      1441 ns/op	 555.30 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/800B-8         	  851274	      1461 ns/op	 547.73 MB/s	    2384 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  594427	      1833 ns/op	 558.50 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  656414	      1773 ns/op	 577.54 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  679848	      1782 ns/op	 574.71 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  678687	      1771 ns/op	 578.31 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  690696	      2137 ns/op	 479.18 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  567494	      2016 ns/op	 507.89 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  644272	      1780 ns/op	 575.30 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  660703	      1800 ns/op	 568.95 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  678013	      1762 ns/op	 581.02 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  690112	      1830 ns/op	 559.63 MB/s	    2896 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  567614	      2119 ns/op	 566.24 MB/s	    3152 B/op	       8 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  543135	      2166 ns/op	 553.99 MB/s	    3152 B/op	       8 allocs/op
