goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/512B-8         	  655627	      2187 ns/op	 234.06 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1029 ns/op	 497.62 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1206 ns/op	 424.65 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1091 ns/op	 469.20 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1031 ns/op	 496.81 MB/s	    1168 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  898536	      1907 ns/op	 419.43 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  295681	      4560 ns/op	 175.46 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  235724	      4673 ns/op	 171.18 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  357242	      3008 ns/op	 266.00 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  361825	      4377 ns/op	 182.79 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  868840	      1576 ns/op	 507.54 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  842809	      1550 ns/op	 516.13 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  788601	      1563 ns/op	 511.76 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  831542	      1393 ns/op	 574.21 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  892353	      1677 ns/op	 477.05 MB/s	    1808 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  720110	      1847 ns/op	 554.56 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  679206	      1672 ns/op	 612.58 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  725403	      1693 ns/op	 604.90 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  715923	      1952 ns/op	 524.71 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  558824	      1977 ns/op	 517.97 MB/s	    2320 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  710587	      1924 ns/op	 532.10 MB/s	    2320 B/op	       3 allocs/op
