goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1140 ns/op	 449.06 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1063 ns/op	 481.79 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1064 ns/op	 481.16 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1049 ns/op	 488.16 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/512B-8         	 1000000	      1096 ns/op	 466.94 MB/s	    1184 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  799788	      1560 ns/op	 512.69 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  787472	      1570 ns/op	 509.42 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  749716	      1427 ns/op	 560.42 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  874749	      1410 ns/op	 567.23 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  845020	      1419 ns/op	 563.82 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  854923	      1429 ns/op	 559.67 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  838910	      1411 ns/op	 566.90 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  814626	      1455 ns/op	 549.91 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  868639	      1429 ns/op	 559.84 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/800B-8         	  882519	      1667 ns/op	 479.88 MB/s	    1824 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  666438	      1777 ns/op	 576.10 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  690680	      1755 ns/op	 583.55 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  706124	      1763 ns/op	 580.96 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  672189	      1766 ns/op	 579.68 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  690607	      1723 ns/op	 594.14 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  691839	      1731 ns/op	 591.70 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  699112	      1757 ns/op	 582.89 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  646338	      1736 ns/op	 589.96 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  687921	      1757 ns/op	 582.75 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1KB-8          	  667143	      1746 ns/op	 586.33 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  666057	      1864 ns/op	 643.91 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  633978	      1843 ns/op	 651.11 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  626026	      1838 ns/op	 652.89 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  643267	      1845 ns/op	 650.57 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  647348	      1908 ns/op	 629.02 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  672841	      1854 ns/op	 647.13 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  650701	      1844 ns/op	 650.86 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  647230	      1848 ns/op	 649.21 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  642813	      1837 ns/op	 653.27 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.1KB-8        	  624494	      2026 ns/op	 592.16 MB/s	    2592 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  421435	      2741 ns/op	 547.16 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  441559	      2648 ns/op	 566.40 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  521581	      2415 ns/op	 621.11 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  512284	      2431 ns/op	 616.94 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  504664	      2407 ns/op	 623.28 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  495043	      2375 ns/op	 631.60 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  484514	      2404 ns/op	 623.96 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  478597	      2389 ns/op	 627.88 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  505210	      2397 ns/op	 625.83 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  500193	      2429 ns/op	 617.48 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  210626	      5700 ns/op	 718.66 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  208210	      5710 ns/op	 717.38 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  203580	      5764 ns/op	 710.59 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  211659	      5739 ns/op	 713.71 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  211520	      5777 ns/op	 709.01 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  207909	      5744 ns/op	 713.08 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  207831	      5701 ns/op	 718.49 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  205261	      5794 ns/op	 706.92 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  207991	      5795 ns/op	 706.82 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  194130	      5814 ns/op	 704.57 MB/s	    9760 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  110470	     11659 ns/op	 702.62 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  104772	     13834 ns/op	 592.15 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   81054	     15778 ns/op	 519.19 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  103195	     14324 ns/op	 571.92 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  105386	     16164 ns/op	 506.79 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   99096	     11167 ns/op	 733.56 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  103764	     13792 ns/op	 593.96 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   87298	     11905 ns/op	 688.09 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  108974	     11853 ns/op	 691.16 MB/s	   18976 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  109948	     10918 ns/op	 750.29 MB/s	   18976 B/op	       4 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	155.750s
