goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/800B-8         	  737656	      1612 ns/op	 496.38 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  726147	      1755 ns/op	 455.84 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  771525	      1732 ns/op	 461.76 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  767444	      1641 ns/op	 487.37 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  726120	      1724 ns/op	 463.92 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  699802	      1707 ns/op	 468.66 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  685555	      1524 ns/op	 525.07 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  806613	      1483 ns/op	 539.40 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  849432	      1544 ns/op	 518.30 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  840792	      1448 ns/op	 552.61 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  681343	      1817 ns/op	 563.45 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  677460	      1815 ns/op	 564.07 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  673712	      1793 ns/op	 571.14 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  664814	      1774 ns/op	 577.20 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  684927	      1861 ns/op	 550.39 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  687332	      1887 ns/op	 542.58 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  683810	      1772 ns/op	 577.94 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  685297	      1839 ns/op	 556.68 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  623176	      1778 ns/op	 575.82 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  665600	      1827 ns/op	 560.63 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  572719	      2089 ns/op	 574.34 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  595470	      2087 ns/op	 575.02 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  596370	      2070 ns/op	 579.66 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  533770	      2103 ns/op	 570.56 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  561855	      2167 ns/op	 553.85 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  572024	      2112 ns/op	 568.09 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  602137	      2023 ns/op	 593.10 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  589048	      2112 ns/op	 568.27 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  592996	      2032 ns/op	 590.48 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  597950	      2349 ns/op	 510.93 MB/s	    3137 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  426322	      3018 ns/op	 496.96 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  432538	      2569 ns/op	 583.86 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  486591	      2488 ns/op	 602.78 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  462218	      2480 ns/op	 604.81 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  484327	      2481 ns/op	 604.62 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  469612	      2507 ns/op	 598.21 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  493143	      2484 ns/op	 603.90 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  489855	      2510 ns/op	 597.56 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  480014	      2477 ns/op	 605.60 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.4KB-8        	  476938	      2480 ns/op	 604.73 MB/s	    3905 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  188500	      6402 ns/op	 639.77 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  192704	      6258 ns/op	 654.55 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  193436	      6278 ns/op	 652.44 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  193322	      6288 ns/op	 651.40 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  186524	      6383 ns/op	 641.75 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  192192	      6375 ns/op	 642.53 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  190534	      6260 ns/op	 654.34 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  189154	      6271 ns/op	 653.14 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  191529	      6304 ns/op	 649.74 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  192618	      6432 ns/op	 636.86 MB/s	   10307 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   98343	     12177 ns/op	 672.76 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97802	     12221 ns/op	 670.32 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97010	     12197 ns/op	 671.63 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   90040	     12912 ns/op	 634.45 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   96871	     12990 ns/op	 630.62 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   94188	     14183 ns/op	 577.59 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   87440	     12641 ns/op	 648.07 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97764	     12189 ns/op	 672.07 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   98553	     12263 ns/op	 668.02 MB/s	   19526 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97701	     12207 ns/op	 671.10 MB/s	   19526 B/op	       7 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	153.542s
