goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCBCEncrypt/800B-8         	  495614	      2304 ns/op	 347.19 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  536706	      2308 ns/op	 346.56 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  497596	      2304 ns/op	 347.15 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  513663	      2296 ns/op	 348.49 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  521968	      2411 ns/op	 331.87 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  523716	      2300 ns/op	 347.88 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  549436	      2314 ns/op	 345.72 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  541360	      2281 ns/op	 350.66 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  539164	      2470 ns/op	 323.91 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/800B-8         	  429868	      2750 ns/op	 290.90 MB/s	    4896 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  406437	      2809 ns/op	 364.51 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  461619	      2693 ns/op	 380.19 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  439369	      2692 ns/op	 380.44 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  457676	      2809 ns/op	 364.52 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  436674	      2732 ns/op	 374.80 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  448965	      2764 ns/op	 370.51 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  453664	      2759 ns/op	 371.21 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  441514	      2740 ns/op	 373.78 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  446523	      2724 ns/op	 375.94 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1KB-8          	  458660	      2712 ns/op	 377.63 MB/s	    5920 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  380952	      2993 ns/op	 401.00 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  402615	      3032 ns/op	 395.79 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  350065	      3060 ns/op	 392.19 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  371486	      3045 ns/op	 394.07 MB/s	    6688 B/op	      12 allocs/op
BenchmarkCBCEncrypt/1.1KB-8        	  411103	      3076 ns/op	 390.07 MB/s	    6688 B/op	      12 allocs/op
