goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  673975	      1785 ns/op	 573.80 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  664299	      1793 ns/op	 571.15 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  703924	      1769 ns/op	 578.92 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  676101	      1792 ns/op	 571.51 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  671050	      1790 ns/op	 571.98 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  497595	      2653 ns/op	 565.47 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  478177	      2523 ns/op	 594.62 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  482434	      2500 ns/op	 599.99 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  452522	      2445 ns/op	 613.62 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  510487	      2494 ns/op	 601.51 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  484024	      3645 ns/op	 411.58 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  484178	      2590 ns/op	 579.08 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  475587	      2534 ns/op	 591.98 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  493995	      2864 ns/op	 523.75 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  444325	      3194 ns/op	 469.57 MB/s	    3104 B/op	       4 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	95.568s
