goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMDecrypt/1.4KB-8        	 2320878	       593.0 ns/op	2529.34 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 1811898	       661.6 ns/op	2267.18 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2243233	       524.9 ns/op	2857.92 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2297385	       535.5 ns/op	2800.97 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 1931925	       538.5 ns/op	2785.55 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2323416	       520.4 ns/op	2882.33 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2247177	       526.1 ns/op	2851.23 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2355630	       518.5 ns/op	2893.11 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2344072	       511.7 ns/op	2931.47 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2295418	       516.2 ns/op	2905.91 MB/s	    1808 B/op	       2 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	87.618s
