goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMDecrypt/1.4KB-8        	 2354695	       502.0 ns/op	2988.07 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2301614	       505.8 ns/op	2965.74 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2351020	       503.0 ns/op	2982.20 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2276838	       516.3 ns/op	2905.19 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2292159	       518.7 ns/op	2891.93 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2370478	       508.0 ns/op	2952.58 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2275070	       515.8 ns/op	2908.06 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2308818	       504.4 ns/op	2973.61 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2391902	       502.3 ns/op	2986.45 MB/s	    1824 B/op	       3 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 1952496	       671.7 ns/op	2233.19 MB/s	    1824 B/op	       3 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	88.993s
