19:46 $ go test -tags=bench -bench=BenchmarkCBCDecrypt -benchmem -count 10
goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCBCDecrypt/1.4KB-8        	  496388	      2390 ns/op	 627.54 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  429280	      2511 ns/op	 597.35 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  508227	      2417 ns/op	 620.49 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  515242	      2324 ns/op	 645.50 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  508701	      2347 ns/op	 639.08 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  490584	      2363 ns/op	 634.73 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  512251	      2346 ns/op	 639.43 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  506058	      2346 ns/op	 639.50 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  499513	      2328 ns/op	 644.40 MB/s	    2448 B/op	       9 allocs/op
BenchmarkCBCDecrypt/1.4KB-8        	  488816	      2334 ns/op	 642.75 MB/s	    2448 B/op	       9 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	82.899s
