goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMDecrypt/1.4KB-8        	 2392632	       501.8 ns/op	2989.38 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2350116	       501.8 ns/op	2989.26 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2345132	       503.3 ns/op	2980.03 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2408287	       505.4 ns/op	2967.69 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2386857	       529.3 ns/op	2833.74 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 1913394	       667.5 ns/op	2247.07 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2123156	       541.1 ns/op	2772.30 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2370687	       504.7 ns/op	2972.00 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2392498	       503.2 ns/op	2980.69 MB/s	    1808 B/op	       2 allocs/op
BenchmarkGCMDecrypt/1.4KB-8        	 2311942	       528.5 ns/op	2838.14 MB/s	    1808 B/op	       2 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	87.443s
