goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  666829	      1852 ns/op	 553.04 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  635017	      1818 ns/op	 563.34 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  670449	      1813 ns/op	 564.90 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  688473	      1816 ns/op	 563.97 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  664778	      1782 ns/op	 574.54 MB/s	    2336 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  485836	      2445 ns/op	 613.41 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  490390	      2494 ns/op	 601.50 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  493971	      2458 ns/op	 610.27 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  490498	      2482 ns/op	 604.24 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  496276	      2485 ns/op	 603.56 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  497562	      2499 ns/op	 600.20 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  421242	      2504 ns/op	 598.93 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  487702	      2442 ns/op	 614.18 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  500694	      2473 ns/op	 606.67 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  494853	      2531 ns/op	 592.69 MB/s	    3104 B/op	       4 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	87.542s
