goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/800B-8         	  842500	      1503 ns/op	 532.42 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  833182	      1441 ns/op	 555.27 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  853066	      1426 ns/op	 560.87 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  847798	      1429 ns/op	 559.95 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  854244	      1488 ns/op	 537.72 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  847204	      1449 ns/op	 551.98 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  824146	      1437 ns/op	 556.63 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  832704	      1447 ns/op	 553.04 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  817431	      1453 ns/op	 550.45 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/800B-8         	  792542	      1537 ns/op	 520.41 MB/s	    2368 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  667332	      2024 ns/op	 505.97 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  556102	      2134 ns/op	 479.86 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  619401	      1811 ns/op	 565.46 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  602036	      1791 ns/op	 571.70 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  666457	      1773 ns/op	 577.69 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  682600	      1775 ns/op	 576.79 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  645105	      1773 ns/op	 577.65 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  686257	      1761 ns/op	 581.63 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  684123	      1767 ns/op	 579.38 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1KB-8          	  692666	      1774 ns/op	 577.08 MB/s	    2880 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  580201	      2093 ns/op	 573.43 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  582981	      2104 ns/op	 570.36 MB/s	    3136 B/op	       7 allocs/op
BenchmarkCCMEncrypt/1.1KB-8        	  584611	      2648 ns/op	 453.23 MB/s	    3136 B/op	       7 allocs/op
