goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  695199	      1738 ns/op	 589.28 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  710454	      1800 ns/op	 568.79 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  674701	      1755 ns/op	 583.43 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  681193	      1807 ns/op	 566.79 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  701974	      1743 ns/op	 587.53 MB/s	    2208 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  515848	      2428 ns/op	 617.89 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  474505	      2843 ns/op	 527.70 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  441936	      2714 ns/op	 552.74 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  407282	      2617 ns/op	 573.08 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  509413	      2591 ns/op	 579.02 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  483914	      2475 ns/op	 606.01 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  495440	      2509 ns/op	 597.93 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  502711	      2571 ns/op	 583.42 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  503902	      3074 ns/op	 488.02 MB/s	    3104 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  398797	      2890 ns/op	 519.08 MB/s	    3104 B/op	       4 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	88.285s
