goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  688242	      1865 ns/op	 549.10 MB/s	    2192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  626882	      1948 ns/op	 525.69 MB/s	    2192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  683934	      1738 ns/op	 589.29 MB/s	    2192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  706964	      1745 ns/op	 586.76 MB/s	    2192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1KB-8          	  690870	      1739 ns/op	 588.96 MB/s	    2192 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  501147	      2393 ns/op	 626.71 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  495912	      2409 ns/op	 622.60 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  506515	      2403 ns/op	 624.31 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  500413	      2413 ns/op	 621.75 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  492286	      2405 ns/op	 623.59 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  483498	      2439 ns/op	 615.03 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  495811	      2407 ns/op	 623.25 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  500148	      2402 ns/op	 624.59 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  494840	      2406 ns/op	 623.49 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Decrypt/1.4KB-8        	  515140	      2418 ns/op	 620.45 MB/s	    3089 B/op	       3 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	86.818s
